,0
9444,60024  >  60020 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9445,60024  >  1124 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9446,60024  >  1098 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9447,60024  >  5989 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9448,60024  >  3005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9449,60024  >  1088 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9450,60024  >  8899 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9451,60024  >  7402 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9452,60024  >  16012 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9453,60024  >  3703 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9454,60024  >  50300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9455,"1069  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9456,"27355  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9457,"1021  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9458,"15660  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9459,"4321  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9460,"1154  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9461,"711  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9462,"1972  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9463,"3031  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9464,"23502  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9465,"3690  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9466,"8088  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9467,"7777  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9468,"999  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9469,"3527  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9470,"722  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9471,"2002  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9472,"8290  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9473,"7512  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9474,"254  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9475,"14000  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9476,"19780  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9477,"444  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9478,"50000  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9479,"2038  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9480,"8090  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9481,"1049  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9482,"1310  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9483,"1801  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9484,"1583  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9485,"5998  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9486,"264  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9487,"1110  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9488,"9290  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9489,"3013  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9490,"2399  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9491,"720  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9492,"38292  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9493,"3551  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9494,"783  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9495,"3918  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9496,"6692  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9497,"1248  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9498,"1099  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9499,"5925  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9500,"9485  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9501,"6  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9502,"2121  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9503,"9080  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9504,"2601  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9505,"1186  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9506,"1666  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9507,"7  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9508,"3659  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9509,"16000  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9510,"1914  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9511,"15000  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9512,"51103  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9513,"255  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9514,"987  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9515,"3001  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9516,"1580  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9517,"1443  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9518,"30718  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9519,"2106  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9520,"1053  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9521,"3828  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9522,"1102  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9523,"9575  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9524,"28201  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9525,"9040  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9526,"3971  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9527,"60020  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9528,"1124  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9529,"1098  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9530,"5989  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9531,"3005  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9532,"1088  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9533,"8899  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9534,"7402  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9535,"16012  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9536,"3703  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9537,"50300  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9538,60025  >  9595 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9539,60024  >  1106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9540,60024  >  2022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9541,60024  >  1761 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9542,60024  >  7019 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9543,60024  >  1002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9544,60024  >  8800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9545,60024  >  1301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9546,60024  >  1089 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9547,60024  >  2126 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9548,60024  >  10180 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9549,60024  >  20221 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9550,60024  >  5214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9551,60024  >  301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9552,60024  >  3404 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9553,60024  >  19283 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9554,60024  >  40911 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9555,60024  >  13782 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9556,60024  >  636 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9557,60025  >  1106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9558,60025  >  2022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9559,"9595  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9560,"1106  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9561,"2022  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9562,"1761  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9563,"7019  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9564,"1002  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9565,"8800  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9566,"1301  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9567,"1089  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9568,"2126  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9569,"10180  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9570,"20221  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9571,"5214  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9572,"301  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9573,"3404  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9574,"19283  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9575,"1106  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9576,"2022  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9577,60025  >  1761 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9578,"1761  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9579,60025  >  7019 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9580,"7019  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9581,60025  >  1002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9582,"1002  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9583,60025  >  8800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9584,60025  >  1301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9585,"8800  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9586,"1301  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9587,60025  >  1089 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9588,"1089  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9589,60025  >  2126 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9590,"2126  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9591,60025  >  10180 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9592,"10180  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9593,60025  >  20221 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9594,"20221  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9595,60025  >  301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9596,"301  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9597,60025  >  5214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9598,"5214  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9599,60025  >  19283 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9600,"19283  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9601,60025  >  3404 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9602,"3404  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9603,60025  >  40911 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9604,"40911  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9605,60025  >  636 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9606,"636  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9607,60025  >  13782 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9608,"13782  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9609,60024  >  81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9610,"81  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9611,60024  >  2394 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9612,60024  >  3995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9613,60024  >  6510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9614,"2394  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9615,"3995  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9616,60024  >  7937 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9617,"6510  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9618,60024  >  3390 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9619,"7937  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9620,"3390  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9621,60024  >  416 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9622,"416  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9623,60024  >  1503 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9624,"1503  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9625,60024  >  4662 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9626,"4662  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9627,60024  >  5405 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9628,"5405  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9629,60024  >  593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9630,"593  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9631,60024  >  787 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9632,"787  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9633,60024  >  8007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9634,"8007  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9635,60024  >  1721 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9636,"1721  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9637,60024  >  1688 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9638,"1688  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9639,60024  >  32775 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9640,"32775  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9641,60024  >  625 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9642,"625  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9643,60024  >  50002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9644,"50002  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9645,60025  >  81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9646,"81  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9647,60025  >  2394 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9648,"2394  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9649,60025  >  3995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9650,60025  >  6510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9651,60025  >  7937 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9652,60025  >  3390 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9653,60025  >  416 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9654,"3995  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9655,60025  >  1503 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9656,"6510  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9657,60025  >  4662 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9658,"7937  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9659,"3390  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9660,"416  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9661,"1503  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9662,60025  >  5405 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9663,"4662  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9664,"5405  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9665,60025  >  593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9666,"593  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9667,60025  >  787 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9668,60025  >  8007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9669,60025  >  1688 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9670,"787  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9671,"8007  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9672,"1688  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9673,60025  >  32775 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9674,"32775  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9675,60025  >  625 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9676,"625  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9677,60025  >  50002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9678,"50002  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9679,60024  >  3689 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9680,60024  >  8010 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9681,60024  >  9943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9682,60024  >  3814 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9683,60024  >  1641 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9684,60024  >  3221 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9685,60024  >  1051 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9686,60024  >  32773 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9687,60024  >  666 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9688,60024  >  2006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9689,60024  >  8194 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9690,60024  >  8087 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9691,60024  >  3801 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9692,60024  >  3007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9693,60024  >  9081 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9694,60024  >  6006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9695,60024  >  9917 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9696,60024  >  12345 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9697,60025  >  3689 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9698,60025  >  8010 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9699,60025  >  9943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9700,60025  >  3814 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9701,"3689  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9702,"8010  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9703,"9943  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9704,"3814  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9705,"1641  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9706,"3221  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9707,"1051  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9708,"32773  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9709,"666  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9710,"2006  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9711,"8194  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9712,"8087  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9713,"3801  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9714,"3007  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9715,"9081  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9716,"6006  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9717,"9943  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9718,60025  >  1641 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9719,"3814  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9720,60025  >  3221 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9721,60025  >  1051 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9722,60025  >  32773 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9723,60025  >  666 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9724,60025  >  2006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9725,60025  >  8087 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9726,60025  >  8194 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9727,"1641  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9728,"3221  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9729,"1051  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9730,60025  >  3007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9731,"32773  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9732,60025  >  3801 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9733,60025  >  9081 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9734,60025  >  6006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9735,60025  >  9917 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9736,60025  >  12345 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9737,60026  >  3689 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9738,60026  >  8010 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9739,60026  >  9943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9740,"666  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9741,"2006  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9742,"8087  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9743,"8194  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9744,"3007  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9745,"3801  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9746,"9081  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9747,"6006  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9748,"9917  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9749,"12345  >  60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9750,"3689  >  60026 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9751,"8010  >  60026 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9752,"9943  >  60026 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9753,60024  >  1718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9754,"1718  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9755,60024  >  61532 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9756,"61532  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9757,60024  >  12174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9758,"12174  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9759,60024  >  10024 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9760,"10024  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9761,60024  >  50001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9762,60024  >  389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9763,"50001  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9764,60024  >  7778 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9765,60024  >  32769 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9766,60024  >  406 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9767,60024  >  9099 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9768,"389  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9769,"7778  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9770,"32769  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9771,"406  >  60024 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9772,60024  >  6779 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9773,60026  >  6006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9774,60026  >  9917 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9775,60026  >  12345 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9776,60024  >  3851 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9777,60024  >  500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9778,60024  >  1199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9779,60025  >  1718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
